dataset,KNN,DecisionTree,RandomForest,GaussianNB,SVM
openml_vinnie_860,0.836297,0.847135,0.84985,0.844379,0.846998
openml_visualizing_livestock_685,0.41526,0.355654,0.247469,0.431968,0.278407
openml_volcanoes-e1_1542,0.191081,0.31417,0.293622,0.222395,0.191174
openml_vote_56,0.928371,0.924835,0.95643,0.935062,0.954174
openml_vowel_1016,0.988486,0.963372,0.987297,0.772771,0.972353
openml_water-treatment_940,0.517208,1.0,0.493909,0.458392,0.460599
openml_wdbc_1510,0.929629,0.902794,0.950913,0.933134,0.903527
openml_wholesale-customers_1511,0.870676,0.847013,0.912084,0.879218,0.876619
openml_wine_187,0.64967,0.895957,0.978395,0.973204,0.624737
openml_wisconsin_753,0.556447,0.576445,0.561605,0.577255,0.556088
openml_xd6_40693,0.939852,0.996543,1.0,0.77488,1.0
openml_yeast_181,0.543787,0.368027,0.544134,0.273596,0.549566
openml_Zombies-Apocalypse_43786,0.643889,0.726374,0.805433,0.819305,0.673023
openml_zoo_62,0.700658,0.852698,0.913379,0.872744,0.80926
